geneid,Symbol
ENSG00000121410,A1BG
ENSG00000268895,A1BG-AS1
ENSG00000148584,A1CF
ENSG00000175899,A2M
ENSG00000245105,A2M-AS1
ENSG00000166535,A2ML1
ENSG00000256661,A2ML1-AS1
ENSG00000256904,A2ML1-AS2
ENSG00000256069,A2MP1
ENSG00000184389,A3GALT2
ENSG00000128274,A4GALT
ENSG00000118017,A4GNT
ENSG00000094914,AAAS
ENSG00000081760,AACS
ENSG00000250420,AACSP1
ENSG00000114771,AADAC
ENSG00000197953,AADACL2
ENSG00000242908,AADACL2-AS1
ENSG00000188984,AADACL3
ENSG00000204518,AADACL4
ENSG00000240602,AADACP1
ENSG00000109576,AADAT
ENSG00000158122,AAED1
ENSG00000103591,AAGAB
ENSG00000115977,AAK1
ENSG00000087884,AAMDC
ENSG00000127837,AAMP
ENSG00000129673,AANAT
ENSG00000131043,AAR2
ENSG00000205002,AARD
ENSG00000090861,AARS
ENSG00000124608,AARS2
ENSG00000266967,AARSD1
ENSG00000249038,AARSP1
ENSG00000157426,AASDH
ENSG00000149313,AASDHPPT
ENSG00000008311,AASS
ENSG00000215458,AATBC
ENSG00000275700,AATF
ENSG00000181409,AATK
ENSG00000281376,ABALON
ENSG00000183044,ABAT
ENSG00000165029,ABCA1
ENSG00000107331,ABCA2
ENSG00000167972,ABCA3
ENSG00000198691,ABCA4
ENSG00000154265,ABCA5
ENSG00000154262,ABCA6
ENSG00000064687,ABCA7
ENSG00000141338,ABCA8
ENSG00000154258,ABCA9
ENSG00000231749,ABCA9-AS1
ENSG00000085563,ABCB1
ENSG00000005471,ABCB4
ENSG00000004846,ABCB5
ENSG00000115657,ABCB6
ENSG00000131269,ABCB7
ENSG00000197150,ABCB8
ENSG00000150967,ABCB9
ENSG00000103222,ABCC1
ENSG00000023839,ABCC2
ENSG00000108846,ABCC3
ENSG00000125257,ABCC4
ENSG00000114770,ABCC5
ENSG00000223882,ABCC5-AS1
ENSG00000091262,ABCC6
ENSG00000256340,ABCC6P1
ENSG00000255277,ABCC6P2
ENSG00000006071,ABCC8
ENSG00000069431,ABCC9
ENSG00000101986,ABCD1
ENSG00000215151,ABCD1P2
ENSG00000261233,ABCD1P3
ENSG00000225293,ABCD1P4
ENSG00000214330,ABCD1P5
ENSG00000173208,ABCD2
ENSG00000117528,ABCD3
ENSG00000119688,ABCD4
ENSG00000164163,ABCE1
ENSG00000204574,ABCF1
ENSG00000033050,ABCF2
ENSG00000242159,ABCF2P1
ENSG00000228769,ABCF2P2
ENSG00000161204,ABCF3
ENSG00000160179,ABCG1
ENSG00000118777,ABCG2
ENSG00000172350,ABCG4
ENSG00000138075,ABCG5
ENSG00000143921,ABCG8
ENSG00000143994,ABHD1
ENSG00000140526,ABHD2
ENSG00000158201,ABHD3
ENSG00000100439,ABHD4
ENSG00000011198,ABHD5
ENSG00000163686,ABHD6
ENSG00000127220,ABHD8
ENSG00000136754,ABI1
ENSG00000271484,ABI1P1
ENSG00000138443,ABI2
ENSG00000108798,ABI3
ENSG00000154175,ABI3BP
ENSG00000097007,ABL1
ENSG00000143322,ABL2
ENSG00000099204,ABLIM1
ENSG00000163995,ABLIM2
ENSG00000173210,ABLIM3
ENSG00000175164,ABO
ENSG00000159842,ABR
ENSG00000174429,ABRA
ENSG00000146386,ABRACL
ENSG00000163322,ABRAXAS1
ENSG00000165660,ABRAXAS2
ENSG00000146109,ABT1
ENSG00000250496,ABT1P1
ENSG00000114626,ABTB1
ENSG00000166016,ABTB2
ENSG00000060971,ACAA1
ENSG00000167315,ACAA2
ENSG00000278540,ACACA
ENSG00000076555,ACACB
ENSG00000151498,ACAD8
ENSG00000177646,ACAD9
ENSG00000115361,ACADL
ENSG00000117054,ACADM
ENSG00000122971,ACADS
ENSG00000196177,ACADSB
ENSG00000072778,ACADVL
ENSG00000157766,ACAN
